file_name,input_path,output_path,start_time,end_time,person,gender,age,result
2018-05-22_2000_US_CNN_The_Lead_With_Jake_Tapper,/mnt/rds/redhen/gallina/tv/2018/2018-05/2018-05-22/2018-05-22_2000_US_CNN_The_Lead_With_Jake_Tapper.mp4,./snippets/2018-05-22_2000_US_CNN_The_Lead_With_Jake_Tapper_572.4-588.66_Sam_Clovis.mp4,572.4,588.66,Sam_Clovis,male,68,finished
2018-01-24_1800_US_CNN_Wolf,/mnt/rds/redhen/gallina/tv/2018/2018-01/2018-01-24/2018-01-24_1800_US_CNN_Wolf.mp4,./snippets/2018-01-24_1800_US_CNN_Wolf_3474.199999-3504.199999_Larry_Nassar.mp4,3474.199999,3504.199999,Larry_Nassar,male,54,finished
2018-06-13_2000_US_CNN_The_Lead_With_Jake_Tapper,/mnt/rds/redhen/gallina/tv/2018/2018-06/2018-06-13/2018-06-13_2000_US_CNN_The_Lead_With_Jake_Tapper.mp4,./snippets/2018-06-13_2000_US_CNN_The_Lead_With_Jake_Tapper_3237.36-3248.41_Andy_Wigmore.mp4,3237.36,3248.41,Andy_Wigmore,male,52,finished
2018-06-23_0000_US_CNN_Anderson_Cooper_360,/mnt/rds/redhen/gallina/tv/2018/2018-06/2018-06-23/2018-06-23_0000_US_CNN_Anderson_Cooper_360.mp4,./snippets/2018-06-23_0000_US_CNN_Anderson_Cooper_360_2415.58-2419.57_Dan_Hernandez.mp4,2415.58,2419.57,Dan_Hernandez,male,34,finished
2018-01-17_2100_US_CNN_The_Lead_With_Jake_Tapper,/mnt/rds/redhen/gallina/tv/2018/2018-01/2018-01-17/2018-01-17_2100_US_CNN_The_Lead_With_Jake_Tapper.mp4,./snippets/2018-01-17_2100_US_CNN_The_Lead_With_Jake_Tapper_3492.01-3500.73_Jeremy_Zimmer.mp4,3492.01,3500.73,Jeremy_Zimmer,male,59,finished
2018-01-17_2100_US_CNN_The_Lead_With_Jake_Tapper,/mnt/rds/redhen/gallina/tv/2018/2018-01/2018-01-17/2018-01-17_2100_US_CNN_The_Lead_With_Jake_Tapper.mp4,./snippets/2018-01-17_2100_US_CNN_The_Lead_With_Jake_Tapper_3510.55-3527.299999_Jeremy_Zimmer.mp4,3510.55,3527.299999,Jeremy_Zimmer,male,59,finished
2018-08-24_0100_US_CNN_Cuomo_Prime_Time,/mnt/rds/redhen/gallina/tv/2018/2018-08/2018-08-24/2018-08-24_0100_US_CNN_Cuomo_Prime_Time.mp4,./snippets/2018-08-24_0100_US_CNN_Cuomo_Prime_Time_3053.849999-3083.849999_Brian_Karem.mp4,3053.849999,3083.849999,Brian_Karem,male,57,finished
2018-08-24_0100_US_CNN_Cuomo_Prime_Time,/mnt/rds/redhen/gallina/tv/2018/2018-08/2018-08-24/2018-08-24_0100_US_CNN_Cuomo_Prime_Time.mp4,./snippets/2018-08-24_0100_US_CNN_Cuomo_Prime_Time_3171.25-3201.25_Brian_Karem.mp4,3171.25,3201.25,Brian_Karem,male,57,finished
2018-10-13_1000_US_CNN_New_Day_Saturday,/mnt/rds/redhen/gallina/tv/2018/2018-10/2018-10-13/2018-10-13_1000_US_CNN_New_Day_Saturday.mp4,./snippets/2018-10-13_1000_US_CNN_New_Day_Saturday_3133.029999-3151.44_Brandon_Woodruff.mp4,3133.029999,3151.44,Brandon_Woodruff,male,25,finished
2018-03-19_1600_US_CNN_Inside_Politics,/mnt/rds/redhen/gallina/tv/2018/2018-03/2018-03-19/2018-03-19_1600_US_CNN_Inside_Politics.mp4,./snippets/2018-03-19_1600_US_CNN_Inside_Politics_1782.969999-1790.82_Brad_Parscale.mp4,1782.969999,1790.82,Brad_Parscale,male,42,finished
